Variable1,Variable2,Variable3,Variable4,Variable5,Variable6
5.99710054803,6.68264253573,54.947272637,7.05790595287,0.79124609473,13.9192222406
6.56211777245,6.934213977,53.91391286,6.88634479072,0.489292049669,14.3981301611
6.08331622373,6.57060347063,50.5249880924,6.83830785385,0.683607337136,14.3852629381
7.44709947637,8.154730269,78.8731572887,8.43774065517,0.538331694639,17.5298288879
5.33806203246,5.67380499955,36.3231177598,5.65116394289,0.169603570514,11.9525663491
7.63750676753,7.75045307873,61.9382010293,7.54700147626,0.465751384165,15.4982195797
5.65944677041,6.26292162421,47.8876414765,6.64184139253,0.787485608316,13.7379137118
7.39246599694,7.73220962287,65.4633189655,7.88459888105,0.426427215954,15.7139445338
5.8302651945,6.46239566103,50.7454826124,6.93989479438,0.898087436377,14.2899647899
7.94756023228,8.86891624195,96.6659360678,9.39654105511,0.731045267261,18.3918649659
5.9985615051,6.55046049305,51.1131928092,6.73202179086,0.577817225406,14.1078185349
7.5508973421,8.41899012697,86.8682424026,9.1133633987,0.924676162923,18.2980354547
5.67801976243,6.0273042318,40.7219212856,5.91119084177,0.562434934945,12.2948491912
6.81203307731,7.69732152942,74.5072836759,8.18838113384,0.919766693269,16.4024755359
7.34094774399,7.76452382128,67.1016328969,7.92947673008,0.587419784996,15.8669465503
7.72226465294,7.84903649483,64.1801267502,7.70020157675,0.662204319756,15.9340886156
6.43894376123,7.16257470192,62.4285240975,7.49817502145,0.746565274605,15.6207797202
6.36671306008,6.75833533781,52.0953334536,6.91089192798,0.641397034313,13.9307811369
5.4751652253,5.56516425899,32.562923894,5.43157400906,0.552237058006,11.6036572033
7.01664966965,7.47490560182,62.9377248143,7.698633753,0.650587920703,15.6829407236
5.44985109307,5.4726670106,30.4856037007,5.08173823013,0.778926797241,10.9685629498
6.50304744036,7.39773821866,69.6093973259,7.9771747005,0.987618108914,16.1214360328
5.21055746968,6.04434787565,47.8760014718,6.69059630607,0.890567033149,13.2402558347
7.48387898493,7.70983761264,63.4567331041,7.7505558753,0.41800860034,16.2528327309
7.28388694273,7.62130300468,63.7382025419,7.6013075485,0.251032579567,16.0471774633
5.6205652885,6.03627222434,41.9417072352,6.01444931465,0.392100779393,12.4608430655
6.96544882966,7.83255142747,75.9572263954,8.30683822619,0.860717621263,16.8758106458
7.17845989278,7.56341969971,63.2868486206,7.49540350063,0.469685526993,15.4047421979
6.65073886727,6.94012732251,52.6089503791,6.81159180298,0.385925203367,14.0373609786
5.61986002512,5.8853270438,38.1967761826,5.97769489326,0.557547627969,12.4781061867
6.07193888787,6.17280296646,40.0642542696,5.9685651515,0.679755730448,12.5022608872
6.91105833811,7.80765129522,76.4471294044,8.28763759841,0.943028341028,16.3488667589
6.15059897986,6.99144103924,61.7181162871,7.45409219133,0.831829336033,15.2572366536
5.48201761985,5.51478526232,31.0204371651,5.34389823097,0.535985154854,11.6872478282
7.22850818164,8.07275972179,79.8156945645,8.64875193489,1.02936250631,16.8698357801
6.18458355987,6.44006384508,45.1564219927,6.47368200879,0.457467307956,13.1499108428
7.69835032685,8.65046815832,92.3115858957,9.43564287393,1.07339394879,18.7026569048
7.7740169473,7.8002817235,61.7352397992,7.48894877339,0.835291516586,15.9290049299
5.17534992984,5.88694921844,44.2568653877,6.38821370057,0.807660845168,12.511041227
6.56044524311,7.43647313341,69.8176764903,8.17691225324,0.871356462137,16.2837478719
6.83925973491,7.48871187504,67.2009036014,7.84019180722,0.626211372794,16.0309372738
5.20669107584,5.93245421158,44.515589036,6.22529040775,0.830956911294,12.7391466986
7.01962709646,7.12242014812,53.0484245284,6.88548506242,0.674670290352,14.0589372435
7.77570413212,8.17118350893,74.1241341357,8.20263144444,0.204171892936,16.7146664717
7.2401378461,7.78825804132,69.525191161,8.05404451386,0.655838010526,16.8141650215
8.14662624722,8.67889335271,85.5824159563,9.03477333721,0.600322614926,18.142077563
6.37960080844,7.33143803237,69.3581463145,8.00507729936,1.02974537393,16.1190146595
5.77186968497,6.26538758267,46.5090611045,6.59958149347,0.598769816591,13.5968247328
6.36532877089,6.95294593031,57.7621675975,7.30814694374,0.613474680291,14.8294051047
